reaction_id	accession	reference_id	status
BRXN_ALK_B	D9PXZ6	KBV073_BRXN_ALK_B|D9PXZ6	ADDED
BRXN_ALK_B	O27232	KBV073_BRXN_ALK_B|O27232	ADDED
BRXN_ALK_B	O27233	KBV073_BRXN_ALK_B|O27233	ADDED
BRXN_ALK_B	O27236	KBV073_BRXN_ALK_B|O27236	ADDED
BRXN_AROM_RHO	P56216	KBV073_BRXN_AROM_RHO|P56216	ADDED
BRXN_ARS_C	A4INR2	KBV073_BRXN_ARS_C|A4INR2	ADDED
BRXN_ARS_C	P0A006	KBV073_BRXN_ARS_C|P0A006	ADDED
BRXN_ARS_C	Q49UH1	KBV073_BRXN_ARS_C|Q49UH1	ADDED
BRXN_ATZ_C	P95442	KBV073_BRXN_ATZ_C|P95442	ADDED
BRXN_ATZ_F	A5H0J2	KBV073_BRXN_ATZ_F|A5H0J2	ADDED
BRXN_ATZ_F	P32528	KBV073_BRXN_ATZ_F|P32528	ADDED
BRXN_BPH_C	A2BTH4	KBV073_BRXN_BPH_C|A2BTH4	ADDED
BRXN_CAT_A	P86029	KBV073_BRXN_CAT_A|P86029	ADDED
BRXN_CAT_A	A2QAP8	KBV073_BRXN_CAT_A|A2QAP8	ADDED
BRXN_CAT_B	P46057	KBV073_BRXN_CAT_B|P46057	ADDED
BRXN_CAT_C	O33947	KBV073_BRXN_CAT_C|O33947	ADDED
BRXN_CAT_C	O33951	KBV073_BRXN_CAT_C|O33951	ADDED
BRXN_DCA_DHLA	A1KLS7	KBV073_BRXN_DCA_DHLA|A1KLS7	ADDED
BRXN_DCA_DHLA	P64304	KBV073_BRXN_DCA_DHLA|P64304	ADDED
BRXN_DCA_DHLB	O06652	KBV073_BRXN_DCA_DHLB|O06652	ADDED
BRXN_DCA_DHLB	P24069	KBV073_BRXN_DCA_DHLB|P24069	ADDED
BRXN_DCA_DHLB	P24070	KBV073_BRXN_DCA_DHLB|P24070	ADDED
BRXN_DCA_DHLB	P60527	KBV073_BRXN_DCA_DHLB|P60527	ADDED
BRXN_DHMA	A1KLS7	KBV073_BRXN_DHMA|A1KLS7	ADDED
BRXN_DHMA	P64304	KBV073_BRXN_DHMA|P64304	ADDED
BRXN_FCBB2	A5JTM5	KBV073_BRXN_FCBB2|A5JTM5	ADDED
BRXN_GENT_FPH	Q2HJ98	KBV073_BRXN_GENT_FPH|Q2HJ98	ADDED
BRXN_GENT_FPH	Q6P587	KBV073_BRXN_GENT_FPH|Q6P587	ADDED
BRXN_GENT_FPH	Q86I22	KBV073_BRXN_GENT_FPH|Q86I22	ADDED
BRXN_GENT_FPH	Q8R0F8	KBV073_BRXN_GENT_FPH|Q8R0F8	ADDED
BRXN_GENT_GDO	Q330M9	KBV073_BRXN_GENT_GDO|Q330M9	ADDED
BRXN_HPA_I	P45493	KBV073_BRXN_HPA_I|P45493	ADDED
BRXN_LADA	Q02251	KBV073_BRXN_LADA|Q02251	ADDED
BRXN_NAH_C	A2R1P9	KBV073_BRXN_NAH_C|A2R1P9	ADDED
BRXN_NAH_C	P00437	KBV073_BRXN_NAH_C|P00437	ADDED
BRXN_NAH_C	P15109	KBV073_BRXN_NAH_C|P15109	ADDED
BRXN_NAH_D	P0A108	KBV073_BRXN_NAH_D|P0A108	ADDED
BRXN_NAH_D	P74836	KBV073_BRXN_NAH_D|P74836	ADDED
BRXN_NAH_E	P0A142	KBV073_BRXN_NAH_E|P0A142	ADDED
BRXN_PCA_IJ	Q8VPF2	KBV073_BRXN_PCA_IJ|Q8VPF2	ADDED
BRXN_PCA_IJ	Q8VPF3	KBV073_BRXN_PCA_IJ|Q8VPF3	ADDED
BRXN_PRAI_4HB	A2QTW5	KBV073_BRXN_PRAI_4HB|A2QTW5	ADDED
BRXN_STY_D	C7A2A0	KBV073_BRXN_STY_D|C7A2A0	ADDED
BRXN_STY_D	P80668	KBV073_BRXN_STY_D|P80668	ADDED
BRXN_TFD_A	A2BTH4	KBV073_BRXN_TFD_A|A2BTH4	ADDED
BRXN_TFD_B	A2BTH4	KBV073_BRXN_TFD_B|A2BTH4	ADDED
BRXN_TFD_C	P27138	KBV073_BRXN_TFD_C|P27138	ADDED
BRXN_TFD_D	P11452	KBV073_BRXN_TFD_D|P11452	ADDED
BRXN_TFD_D	P83763	KBV073_BRXN_TFD_D|P83763	ADDED
BRXN_XYL_E	P23262	KBV073_BRXN_XYL_E|P23262	ADDED
BRXN_PCA_GH	A2R1P9		SYSTEM_REACTION_BLOCKED
BRXN_PCA_GH	P00437		SYSTEM_REACTION_BLOCKED
BRXN_PCA_GH	P15109		SYSTEM_REACTION_BLOCKED
