pathway_id	pathway_name	system_type	category	reaction_id	step_order	required	alternative_group	alternative_set	notes	topology_status	source_id
BRP_BK_CATECHOL	Beta-ketoadipate pathway — catechol branch	PATHWAY	aromatic_compound_biodegradation	BRXN_CAT_A	1	yes					
BRP_BK_CATECHOL	Beta-ketoadipate pathway — catechol branch	PATHWAY	aromatic_compound_biodegradation	BRXN_CAT_B	2	yes					
BRP_BK_CATECHOL	Beta-ketoadipate pathway — catechol branch	PATHWAY	aromatic_compound_biodegradation	BRXN_CAT_C	3	yes					
BRP_BK_CATECHOL	Beta-ketoadipate pathway — catechol branch	PATHWAY	aromatic_compound_biodegradation	BRXN_PCA_D	4	yes					
BRP_BK_CATECHOL	Beta-ketoadipate pathway — catechol branch	PATHWAY	aromatic_compound_biodegradation	BRXN_PCA_IJ	5	yes					
BRP_BK_CATECHOL	Beta-ketoadipate pathway — catechol branch	PATHWAY	aromatic_compound_biodegradation	BRXN_PCA_F	6	yes					
BRP_BK_PROTOCATECHUATE	Beta-ketoadipate pathway — protocatechuate branch	PATHWAY	aromatic_compound_biodegradation	BRXN_PCA_GH	1	yes					
BRP_BK_PROTOCATECHUATE	Beta-ketoadipate pathway — protocatechuate branch	PATHWAY	aromatic_compound_biodegradation	BRXN_PCA_B	2	yes					
BRP_BK_PROTOCATECHUATE	Beta-ketoadipate pathway — protocatechuate branch	PATHWAY	aromatic_compound_biodegradation	BRXN_PCA_C	3	yes					
BRP_BK_PROTOCATECHUATE	Beta-ketoadipate pathway — protocatechuate branch	PATHWAY	aromatic_compound_biodegradation	BRXN_PCA_D	4	yes					
BRP_BK_PROTOCATECHUATE	Beta-ketoadipate pathway — protocatechuate branch	PATHWAY	aromatic_compound_biodegradation	BRXN_PCA_IJ	5	yes					
BRP_BK_PROTOCATECHUATE	Beta-ketoadipate pathway — protocatechuate branch	PATHWAY	aromatic_compound_biodegradation	BRXN_PCA_F	6	yes					
BRM_CRVI_CHRR	ChrR-associated Cr(VI) reduction	FUNCTIONAL_MODULE	heavy_metal_bioremediation	BRXN_CHRR_CRVI	1	yes					
BRM_CHROMATE_RESISTANCE	Chromium bioremediation — chromate resistance/efflux	FUNCTIONAL_MODULE	heavy_metal_bioremediation	BRXN_CHRA_EFFLUX	1	yes					
BRM_ARSENIC_DETOX	Arsenic detoxification — reduction plus efflux	FUNCTIONAL_MODULE	heavy_metal_bioremediation	BRXN_ARS_C	1	yes					
BRM_ARSENIC_DETOX	Arsenic detoxification — reduction plus efflux	FUNCTIONAL_MODULE	heavy_metal_bioremediation	BRXN_ARS_EFFLUX	2	yes					
BRM_MERCURY_REDUCTION	Mercury bioremediation — Hg(II) reduction	FUNCTIONAL_MODULE	heavy_metal_bioremediation	BRXN_MERA_HGII	1	yes					
BRM_COPPER_RESISTANCE	Copper resistance/efflux	FUNCTIONAL_MODULE	heavy_metal_bioremediation	BRXN_COP_ATPASE	1	yes					
BRM_CADMIUM_CZC_RESISTANCE	Cadmium/zinc/cobalt resistance/efflux	FUNCTIONAL_MODULE	heavy_metal_bioremediation	BRXN_CAD_CZC_EFFLUX	1	yes					
BRM_DYP_DYE	DyP-associated dye transformation potential	FUNCTIONAL_MODULE	dye_bioremediation	BRXN_DYP	1	yes					
BRM_MCO_DYE_SUPPORT	Multicopper oxidase/laccase-associated dye oxidation potential	FUNCTIONAL_MODULE	dye_bioremediation	BRXN_LAC_MCO	1	yes					
BRM_HALOALKANE	Haloalkane dehalogenation potential	FUNCTIONAL_MODULE	halogenated_compound_bioremediation	BRXN_DHMA	1	yes					
BRM_CHLOROBENZOYL	4-chlorobenzoyl-CoA dehalogenation potential	FUNCTIONAL_MODULE	halogenated_compound_bioremediation	BRXN_FCBB2	1	yes					
BRM_HYDROXYBENZOATE_ENTRY	Hydroxybenzoate entry to protocatechuate	FUNCTIONAL_MODULE	aromatic_compound_biodegradation	BRXN_PRAI_4HB	1	no	entry_oxygenase				
BRM_HYDROXYBENZOATE_ENTRY	Hydroxybenzoate entry to protocatechuate	FUNCTIONAL_MODULE	aromatic_compound_biodegradation	BRXN_MOBA_3HB	1	no	entry_oxygenase				
BRM_HPA_DIOXYGENASE	3,4-dihydroxyphenylacetate ring-cleavage module	FUNCTIONAL_MODULE	aromatic_compound_biodegradation	BRXN_HPAD	1	yes					
BRM_HPA_DIOXYGENASE	3,4-dihydroxyphenylacetate ring-cleavage module	FUNCTIONAL_MODULE	aromatic_compound_biodegradation	BRXN_HPAE	2	yes					
BRM_AROMATIC_RHO	Aromatic ring-hydroxylating oxygenase potential	FUNCTIONAL_MODULE	aromatic_compound_biodegradation	BRXN_AROM_RHO	1	yes					
BPWY_NAPHTHALENE_CANONICAL	Naphthalene to catechol canonical aerobic route	PATHWAY	PAH/aromatic degradation	BRXN_NAH_NDO	1	yes			multicomponent naphthalene dioxygenase	CURATED_ORDERED	SRC_NAHF_2012
BPWY_NAPHTHALENE_CANONICAL	Naphthalene to catechol canonical aerobic route	PATHWAY	PAH/aromatic degradation	BRXN_NAH_B	2	yes				CURATED_ORDERED	SRC_NAHF_2012
BPWY_NAPHTHALENE_CANONICAL	Naphthalene to catechol canonical aerobic route	PATHWAY	PAH/aromatic degradation	BRXN_NAH_C	3	yes				CURATED_ORDERED	SRC_NAHF_2012
BPWY_NAPHTHALENE_CANONICAL	Naphthalene to catechol canonical aerobic route	PATHWAY	PAH/aromatic degradation	BRXN_NAH_D	4	yes				CURATED_ORDERED	SRC_NAHF_2012
BPWY_NAPHTHALENE_CANONICAL	Naphthalene to catechol canonical aerobic route	PATHWAY	PAH/aromatic degradation	BRXN_NAH_E	5	yes				CURATED_ORDERED	SRC_NAHF_2012
BPWY_NAPHTHALENE_CANONICAL	Naphthalene to catechol canonical aerobic route	PATHWAY	PAH/aromatic degradation	BRXN_NAH_F	6	yes				CURATED_ORDERED	SRC_NAHF_2012
BPWY_NAPHTHALENE_CANONICAL	Naphthalene to catechol canonical aerobic route	PATHWAY	PAH/aromatic degradation	BRXN_NAH_G	7	yes			salicylate to catechol	CURATED_ORDERED	SRC_NAHF_2012
BPWY_BIPHENYL_UPPER	Biphenyl/PCB upper aerobic pathway	PATHWAY	PCB/aromatic degradation	BRXN_BPH_A	1	yes			terminal oxygenase plus electron-transfer system required; architecture varies	CURATED_ORDERED_WITH_COMPONENT_CAUTION	SRC_BPH_REVIEW_2004
BPWY_BIPHENYL_UPPER	Biphenyl/PCB upper aerobic pathway	PATHWAY	PCB/aromatic degradation	BRXN_BPH_B	2	yes				CURATED_ORDERED_WITH_COMPONENT_CAUTION	SRC_BPH_REVIEW_2004
BPWY_BIPHENYL_UPPER	Biphenyl/PCB upper aerobic pathway	PATHWAY	PCB/aromatic degradation	BRXN_BPH_C	3	yes				CURATED_ORDERED_WITH_COMPONENT_CAUTION	SRC_BPH_REVIEW_2004
BPWY_BIPHENYL_UPPER	Biphenyl/PCB upper aerobic pathway	PATHWAY	PCB/aromatic degradation	BRXN_BPH_D	4	yes			produces benzoate plus lower-pathway intermediate	CURATED_ORDERED_WITH_COMPONENT_CAUTION	SRC_BPH_REVIEW_2004
BPWY_STYRENE_SIDECHAIN	Styrene side-chain oxygenation pathway	PATHWAY	aromatic hydrocarbon degradation	BRXN_STY_AB	1	yes			StyA requires StyB or equivalent reductase; fusion alternatives exist	CURATED_ORDERED_WITH_COMPONENT_CAUTION	SRC_STY_REVIEW_2018
BPWY_STYRENE_SIDECHAIN	Styrene side-chain oxygenation pathway	PATHWAY	aromatic hydrocarbon degradation	BRXN_STY_C	2	yes				CURATED_ORDERED_WITH_COMPONENT_CAUTION	SRC_STY_REVIEW_2018
BPWY_STYRENE_SIDECHAIN	Styrene side-chain oxygenation pathway	PATHWAY	aromatic hydrocarbon degradation	BRXN_STY_D	3	yes			phenylacetate product then enters phenylacetate catabolism	CURATED_ORDERED_WITH_COMPONENT_CAUTION	SRC_STY_REVIEW_2018
BPWY_2_4_D_CLASSIC	2,4-D to beta-ketoadipate chlorocatechol route	PATHWAY	herbicide/chlorinated aromatic degradation	BRXN_TFD_A	1	yes			entry from 2,4-D	CURATED_ORDERED	SRC_TFD_2024
BPWY_2_4_D_CLASSIC	2,4-D to beta-ketoadipate chlorocatechol route	PATHWAY	herbicide/chlorinated aromatic degradation	BRXN_TFD_B	2	yes				CURATED_ORDERED	SRC_TFD_2024
BPWY_2_4_D_CLASSIC	2,4-D to beta-ketoadipate chlorocatechol route	PATHWAY	herbicide/chlorinated aromatic degradation	BRXN_TFD_C	3	yes				CURATED_ORDERED	SRC_TFD_2024
BPWY_2_4_D_CLASSIC	2,4-D to beta-ketoadipate chlorocatechol route	PATHWAY	herbicide/chlorinated aromatic degradation	BRXN_TFD_D	4	yes				CURATED_ORDERED	SRC_TFD_2024
BPWY_2_4_D_CLASSIC	2,4-D to beta-ketoadipate chlorocatechol route	PATHWAY	herbicide/chlorinated aromatic degradation	BRXN_TFD_E	5	yes				CURATED_ORDERED	SRC_TFD_2024
BPWY_2_4_D_CLASSIC	2,4-D to beta-ketoadipate chlorocatechol route	PATHWAY	herbicide/chlorinated aromatic degradation	BRXN_TFD_F	6	yes				CURATED_ORDERED	SRC_TFD_2024
