system_group_id	system_group_name	pathway_id	role
CHROMIUM	Chromium bioremediation system	BRM_CRVI_CHRR	direct_transformation
CHROMIUM	Chromium bioremediation system	BRM_CHROMATE_RESISTANCE	resistance_tolerance
ARSENIC	Arsenic bioremediation system	BRM_ARSENIC_DETOX	detoxification_plus_efflux
MERCURY	Mercury bioremediation system	BRM_MERCURY_REDUCTION	direct_transformation
COPPER	Copper bioremediation-associated system	BRM_COPPER_RESISTANCE	resistance_tolerance
CADMIUM_ZINC_COBALT	Cd/Zn/Co bioremediation-associated system	BRM_CADMIUM_CZC_RESISTANCE	resistance_tolerance
DYE	Dye transformation-associated system	BRM_DYP_DYE	direct_or_supporting_oxidation
DYE	Dye transformation-associated system	BRM_MCO_DYE_SUPPORT	supporting_oxidation
HALOGENATED	Halogenated-compound bioremediation system	BRM_HALOALKANE	direct_transformation
HALOGENATED	Halogenated-compound bioremediation system	BRM_CHLOROBENZOYL	direct_transformation
AROMATIC	Aromatic-compound biodegradation system	BRP_BK_CATECHOL	pathway
AROMATIC	Aromatic-compound biodegradation system	BRP_BK_PROTOCATECHUATE	pathway
AROMATIC	Aromatic-compound biodegradation system	BRM_HYDROXYBENZOATE_ENTRY	entry_reactions
AROMATIC	Aromatic-compound biodegradation system	BRM_HPA_DIOXYGENASE	ring_cleavage
AROMATIC	Aromatic-compound biodegradation system	BRM_AROMATIC_RHO	entry_oxygenase
