reaction_id	reference_id	target_id	category	system	role	priority	accession	entry_name	gene_primary	gene_synonyms	protein_name	organism	organism_id	length	ec_number_uniprot	rhea_ids	interpro_ids	pfam_ids	protein_existence	annotation_score	pubmed_ids	evidence_tier	evidence_statement	target_match_rule	source	source_url	query_used	accessed_utc	sequence_sha256	notes	source_target_id	component_role	mapping_basis	unmapped_reason	expected_interpro_ids	expected_domain_terms	component_id	component_gene_family	shared_function_group
BRXN_CAT_A	BRT_CAT_A|P07773	BRT_CAT_A	aromatic_compounds	beta-ketoadipate catechol branch	transformation	core	P07773	CATA_ACIAD	catA		Catechol 1,2-dioxygenase (EC 1.13.11.1) (1,2-CTD)	Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1)	62977	311	1.13.11.1	RHEA:23852	IPR007535;IPR012801;IPR000627;IPR015889;IPR050770;	PF00775;PF04444;	Evidence at protein level	4.0	3170486; 15514110; 10801478	B	UniProtKB/Swiss-Prot reviewed/manual curation; direct biochemical validation not asserted by this library	exact EC	UniProtKB/Swiss-Prot	https://www.uniprot.org/uniprotkb/P07773/entry	reviewed:true AND taxonomy_id:2 AND fragment:false AND ec:1.13.11.1	2026-08-23T13:19:14.992147+00:00	978c33d5766d7471885ed0bfb2878b881de356173cfa8be5865fe8233220a641	Ortho-cleavage of catechol	BRT_CAT_A	complete_enzyme	exact						
BRXN_CAT_A	BRT_CAT_A|O33948	BRT_CAT_A	aromatic_compounds	beta-ketoadipate catechol branch	transformation	core	O33948	CATA1_ACILW	catA1		Catechol 1,2-dioxygenase 1 (EC 1.13.11.1) (1,2-CTD 1) (CDI1)	Acinetobacter lwoffii	28090	311	1.13.11.1	RHEA:23852	IPR007535;IPR012801;IPR000627;IPR015889;IPR050770;	PF00775;PF04444;	Evidence at protein level	4.0	9260969; 9473520	B	UniProtKB/Swiss-Prot reviewed/manual curation; direct biochemical validation not asserted by this library	exact EC	UniProtKB/Swiss-Prot	https://www.uniprot.org/uniprotkb/O33948/entry	reviewed:true AND taxonomy_id:2 AND fragment:false AND ec:1.13.11.1	2026-08-23T13:19:14.992147+00:00	34a75145f1d3d3b5ac461ee6c9e697deb0733c5abe9778e8febd07d16fcd1ad6	Ortho-cleavage of catechol	BRT_CAT_A	complete_enzyme	exact						
BRXN_CAT_A	BRT_CAT_A|O33950	BRT_CAT_A	aromatic_compounds	beta-ketoadipate catechol branch	transformation	core	O33950	CATA2_ACILW	catA2		Catechol 1,2-dioxygenase 2 (EC 1.13.11.1) (1,2-CTD 2) (CDI2)	Acinetobacter lwoffii	28090	275	1.13.11.1	RHEA:23852	IPR007535;IPR012801;IPR000627;IPR015889;IPR050770;	PF00775;PF04444;	Evidence at protein level	3.0	9260969	B	UniProtKB/Swiss-Prot reviewed/manual curation; direct biochemical validation not asserted by this library	exact EC	UniProtKB/Swiss-Prot	https://www.uniprot.org/uniprotkb/O33950/entry	reviewed:true AND taxonomy_id:2 AND fragment:false AND ec:1.13.11.1	2026-08-23T13:19:14.992147+00:00	394f0e2e3bbfa8c69e3d9dc1b29e195e9c8df675149e265c491ccc5f6f2ba2e9	Ortho-cleavage of catechol	BRT_CAT_A	complete_enzyme	exact						
BRXN_CAT_A	BRT_CAT_A|Q43984	BRT_CAT_A	aromatic_compounds	beta-ketoadipate catechol branch	transformation	core	Q43984	CATA_ACIGI	catA		Catechol 1,2-dioxygenase (EC 1.13.11.1)	Acinetobacter guillouiae (Acinetobacter genomosp. 11)	106649	305	1.13.11.1	RHEA:23852	IPR007535;IPR012801;IPR000627;IPR015889;IPR050770;	PF00775;PF04444;	Evidence at transcript level	3.0	8596453; 8206826	B	UniProtKB/Swiss-Prot reviewed/manual curation; direct biochemical validation not asserted by this library	exact EC	UniProtKB/Swiss-Prot	https://www.uniprot.org/uniprotkb/Q43984/entry	reviewed:true AND taxonomy_id:2 AND fragment:false AND ec:1.13.11.1	2026-08-23T13:19:14.992147+00:00	80cc74c425182f661fa30c1c66993242692860e52e3ff044124025eb462e0222	Ortho-cleavage of catechol	BRT_CAT_A	complete_enzyme	exact						
BRXN_CAT_A	BRT_CAT_A|P31019	BRT_CAT_A	aromatic_compounds	beta-ketoadipate catechol branch	transformation	core	P31019	PHEB_PSEUE	pheB		Catechol 1,2-dioxygenase (EC 1.13.11.1) (1,2-CTD)	Pseudomonas sp. (strain EST1001)	69012	302	1.13.11.1	RHEA:23852	IPR007535;IPR012801;IPR000627;IPR015889;IPR050770;	PF00775;PF04444;	Inferred from homology	2.0	2013408	B	UniProtKB/Swiss-Prot reviewed/manual curation; direct biochemical validation not asserted by this library	exact EC	UniProtKB/Swiss-Prot	https://www.uniprot.org/uniprotkb/P31019/entry	reviewed:true AND taxonomy_id:2 AND fragment:false AND ec:1.13.11.1	2026-08-23T13:19:14.992147+00:00	69a9b02fc1f3afd2f7ee4d3e42810fe097ecfdbde1b6613cbe8566a208895a14	Ortho-cleavage of catechol	BRT_CAT_A	complete_enzyme	exact						
BRXN_CAT_B	BRT_CAT_B|P08310	BRT_CAT_B	aromatic_compounds	beta-ketoadipate catechol branch	transformation	core	P08310	CATB_PSEPU	catB		Muconate cycloisomerase 1 (EC 5.5.1.1) (Cis,cis-muconate lactonizing enzyme I) (MLE) (Muconate cycloisomerase I)	Pseudomonas putida (Arthrobacter siderocapsulatus)	303	375	5.5.1.1	RHEA:30031	IPR013370;IPR036849;IPR029017;IPR029065;IPR018110;IPR013342;IPR013341;	PF13378;PF02746;	Evidence at protein level	5.0	3609743; 2449420; 5330966; 2215699; 3612800; 7500361	B	UniProtKB/Swiss-Prot reviewed/manual curation; direct biochemical validation not asserted by this library	exact EC	UniProtKB/Swiss-Prot	https://www.uniprot.org/uniprotkb/P08310/entry	reviewed:true AND taxonomy_id:2 AND fragment:false AND ec:5.5.1.1	2026-08-23T13:19:14.992147+00:00	5069e44d8f5316f84c5607a490a5aa030ceb1b663f1a21cb09253b340ef64b06	Cycloisomerization of cis,cis-muconate	BRT_CAT_B	complete_enzyme	exact						
BRXN_CAT_B	BRT_CAT_B|O33949	BRT_CAT_B	aromatic_compounds	beta-ketoadipate catechol branch	transformation	core	O33949	CATB2_ACILW	catB2		Muconate cycloisomerase 1-2 (EC 5.5.1.1) (Cis,cis-muconate lactonizing enzyme I 2) (MLE 2) (Muconate cycloisomerase I 2)	Acinetobacter lwoffii	28090	385	5.5.1.1	RHEA:30031	IPR013370;IPR036849;IPR029017;IPR029065;IPR018110;IPR013342;IPR013341;	PF13378;PF02746;	Inferred from homology	3.0	9260969	B	UniProtKB/Swiss-Prot reviewed/manual curation; direct biochemical validation not asserted by this library	exact EC	UniProtKB/Swiss-Prot	https://www.uniprot.org/uniprotkb/O33949/entry	reviewed:true AND taxonomy_id:2 AND fragment:false AND ec:5.5.1.1	2026-08-23T13:19:14.992147+00:00	813f0a96910a02748db15925e26d8d4b6d3cba5288dbebdf9453ceebdc6b4aad	Cycloisomerization of cis,cis-muconate	BRT_CAT_B	complete_enzyme	exact						
BRXN_CAT_B	BRT_CAT_B|O33946	BRT_CAT_B	aromatic_compounds	beta-ketoadipate catechol branch	transformation	core	O33946	CATB1_ACILW	catB1		Muconate cycloisomerase 1-1 (EC 5.5.1.1) (Cis,cis-muconate lactonizing enzyme I 1) (MLE 1) (Muconate cycloisomerase I 1)	Acinetobacter lwoffii	28090	379	5.5.1.1	RHEA:30031	IPR013370;IPR036849;IPR029017;IPR029065;IPR018110;IPR013342;IPR013341;	PF13378;PF02746;	Inferred from homology	3.0	9473520; 9260969	B	UniProtKB/Swiss-Prot reviewed/manual curation; direct biochemical validation not asserted by this library	exact EC	UniProtKB/Swiss-Prot	https://www.uniprot.org/uniprotkb/O33946/entry	reviewed:true AND taxonomy_id:2 AND fragment:false AND ec:5.5.1.1	2026-08-23T13:19:14.992147+00:00	2dd72cdc7dc49cce46e55beeeacef444a396887341d3ac60266b414bd9de33cc	Cycloisomerization of cis,cis-muconate	BRT_CAT_B	complete_enzyme	exact						
BRXN_CAT_B	BRT_CAT_B|Q43931	BRT_CAT_B	aromatic_compounds	beta-ketoadipate catechol branch	transformation	core	Q43931	CATB_ACIAD	catB		Muconate cycloisomerase 1 (EC 5.5.1.1) (Cis,cis-muconate lactonizing enzyme I) (MLE) (Muconate cycloisomerase I)	Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1)	62977	370	5.5.1.1	RHEA:30031	IPR013370;IPR036849;IPR029017;IPR029065;IPR018110;IPR013342;IPR013341;	PF13378;PF02746;	Inferred from homology	3.0	8125318; 15514110	B	UniProtKB/Swiss-Prot reviewed/manual curation; direct biochemical validation not asserted by this library	exact EC	UniProtKB/Swiss-Prot	https://www.uniprot.org/uniprotkb/Q43931/entry	reviewed:true AND taxonomy_id:2 AND fragment:false AND ec:5.5.1.1	2026-08-23T13:19:14.992147+00:00	ec6388f89adc8fa1cfdef2ebc25583857cc8fc409f2835dd935c01dd3ddb8b34	Cycloisomerization of cis,cis-muconate	BRT_CAT_B	complete_enzyme	exact						
BRXN_CAT_B	BRT_CAT_B|P95608	BRT_CAT_B	aromatic_compounds	beta-ketoadipate catechol branch	transformation	core	P95608	CATB_RHOOP	catB		Muconate cycloisomerase 1 (EC 5.5.1.1) (Cis,cis-muconate lactonizing enzyme I) (MLE) (Muconate cycloisomerase I)	Rhodococcus opacus (Nocardia opaca)	37919	373	5.5.1.1	RHEA:30031	IPR013370;IPR034593;IPR036849;IPR029017;IPR029065;IPR018110;IPR013342;IPR013341;	PF13378;PF02746;	Evidence at protein level	2.0	8990288	B	UniProtKB/Swiss-Prot reviewed/manual curation; direct biochemical validation not asserted by this library	exact EC	UniProtKB/Swiss-Prot	https://www.uniprot.org/uniprotkb/P95608/entry	reviewed:true AND taxonomy_id:2 AND fragment:false AND ec:5.5.1.1	2026-08-23T13:19:14.992147+00:00	c8ea6b96e81048e479bba9a6ccdc7ba132a0fe5da011be4b6417b28ea30343ec	Cycloisomerization of cis,cis-muconate	BRT_CAT_B	complete_enzyme	exact						
